id,letter_id,sentence,letter_sentence_index
0,1,Min egen kære Trine.,0
1,1,Tak for sidst.,1
2,1,Jeg er saa forkølet at jeg snart ikke kan snakke.,2
3,1,Det er jo kedelig nu til Søndag for Kommandoen.,3
4,1,"Og Mor kan slet ikke forstaa, hvorledes jeg kan være bleven det.",4
5,1,Jeg kan naturligvis heller ikke.,5
6,1,Hvorledes har du det.,6
7,1,"I Gaar var det egentlig Meningen, at jeg skulde have rejst.",7
8,1,Jeg vilde have fortalt dig det sidst vi taltes; men saa forglemte jeg det.,8
9,1,Far er nemlig bleven udklar med Jørgen Jensen angaaende Mejeriet.,9
10,1,Og saa skulde J. Jensen have rejst 1. April.,10
11,1,Og saa skulde jeg have været derover med et par Heste nu i Foraaret.,11
12,1,Men saa syntes vi at det var en Skam saadan at sætte dem paa Døren.,12
13,1,"Det er nemlig ham, der har sat Rygtet ud om Mejeriet, og nu er det ham, der siger, at Far har sagt det.",13
14,1,Du har vel hørt det.,14
15,1,Men det er jo ellers en kedelig Rygte at have paa sig.,15
16,1,"Jeg ved ikke; men jeg synes alle Folk ser saa skævt til mig siden det er kommen ud, og mig angaar det jo endda slet ikke.",16
17,1,"Du gør da ikke, kære Trine ?",17
18,1,Vi havde det ellers helt morsomt til Ballet.,18
19,1,"Jeg kom til at følges med hende derhenne fra Fårup, jeg ved ikke, hvad hun hed, fra Andres Andersen.",19
20,1,"Og nu gaar Snakket, at jeg har fulgt hende hjem.",20
21,1,Anders Thøjsen kom rigtignok til os ved Stien fra Kirkeby; men det er der ingen der ved.,21
22,1,Lad dem kun gaa i den Mening.,22
23,1,"Men jeg tænkte rigtignok, blot det havde været dig, kære Trine.",23
24,1,I Gaar var vi jo i Gaansager.,24
25,1,"Jeg syntes ikke, jeg kunde være bekendt at blive hjemme.",25
26,1,"Men jeg synes altid, jeg mangler nogen, naar du ikke er der.",26
27,1,Blot vi ikke havde haft Opvisningen overstaaet.,27
28,1,Den er altid i mine Tanker.,28
29,1,Uffe og Bodil har ikke meget at lade os høre.,29
30,1,"De var dog ude til Chr. Bejers Bryllup i Vesterbek og til Dyrskuet tror jeg nok, saa de kan ikke lade os saa grulig meget høre.",30
31,1,"Det er jo nu ogsaa det samme, vi gør som vi vil, om saa vi kunde komme sammen hver Aften.",31
32,1,"Nu ikke mere, jeg maa skrive med Blyant.",32
33,1,"Pennen faldt ud af Vinduet, og jeg har ikke Tid til at hente.",33
34,1,Ventede du efter Brev sidste Tirsdag ?,34
35,1,Jeg syntes det var for tidlig.,35
36,1,"I Morgen skriver du vel, kære Trine.",36
37,1,din egen Peter.,37
38,1,"Jeg ved ikke om du kan læse det, jeg kan næsten ikke/Hvad mit Fotografi",38
39,2,Min egen kære Trine!,0
40,2,Jeg har ellers ikke meget at skrive om i aften.,1
41,2,"Jeg skulde have skreven til et par af mine Ryslinge-kammerater; men du lille Skjælm sidder altid derinde og hvisker, og saa skal du lige godt have lidt først, inden faar jeg ikke Ro, for der ikke mange Timer, uden du har mine Tanker.",2
42,2,"Vi skal jo ogsaa benytte Tiden, for i næste Uge kunde det vel gjærne glippe, at vi ikke hørte fra hverandre.",3
43,2,"Aa jeg er saa glad ved dig og Uffe, at I ikke tager nogen hensyn til det i sidste Brev omtalte.",4
44,2,"Jeg kan ikke forstaa, at du ikke har mærket noget til Ballet.",5
45,2,Du maa have bedre Modstandskraft end jeg.,6
46,2,"Men det gør slet ikke noget ned Forkølelsen, blot jeg ikke skulde have kommanderet paa Søndag, for vi fik jo da en del talt, og det skulle jeg høre, Jeg er gaaet og kommen i Tanker om, at hvis jeg havde haft en ældre Broder, som skulde have haft Gaarden, saa.",7
47,2,"kunde jeg gerne have haft Lyst til at være bleven Landbrugskandidat, det er egentlig Uffe, der har sat mig det ind, men det kan nu ikke lade sig gøre.",8
48,2,Men det er ellers ikke saa ringe en Stilling.,9
49,2,"Jeg morede mig ogsaa storartet til Opvisningen; men det var da din Skyld, kære Trine, ellers havde det ikke været morsomt for mig, hvis du ikke havde været der.",10
50,2,"Ja jeg veed snart ikke, med Turen til Roager, for vi skal vist have Fremmede.",11
51,2,"Du kan vel ikke komme hen en anden Dag, for nu er jeg jo ellers altid hjemme.",12
52,2,"Thomas Nielsen og Kæreste har ikke været hele Vinteren, og jog kunde høre paa ham i Graansager, at de kom vist paa Søndag.",13
53,2,"Jeg kan alligevel ikke forstaa Thomas, for jeg synes, hun er meget ""pjatte"" Og det skulde jo dog ikke være saadan, at den ene syntes var bedre end den anden.",14
54,2,"Jeg vil da nødig have at du skulde føle dig saadan overfor mig, kære Trine.",15
